sparm->C: 0.100000
Reading training examples...feature dimension: 69
total utterence:10 done
Iter 263: *(NumConst=117, SV=87, CEps=0.6599, QPEps=0.3090)
Iter 264: *(NumConst=118, SV=87, CEps=0.6635, QPEps=0.2914)
Iter 265: *(NumConst=119, SV=88, CEps=0.7034, QPEps=0.3075)
Iter 266: *(NumConst=120, SV=88, CEps=0.6783, QPEps=0.3074)
Iter 267: *(NumConst=119, SV=88, CEps=0.5850, QPEps=0.2607)
Iter 268: *(NumConst=120, SV=88, CEps=0.6489, QPEps=0.2801)
Iter 269: *(NumConst=121, SV=89, CEps=0.6639, QPEps=0.2631)
Iter 270: *(NumConst=121, SV=90, CEps=0.5813, QPEps=0.2485)
Iter 271: *(NumConst=121, SV=91, CEps=0.6485, QPEps=0.2709)
Iter 272: *(NumConst=122, SV=92, CEps=0.5009, QPEps=0.2301)
Iter 273: *(NumConst=121, SV=93, CEps=0.5127, QPEps=0.2438)
Iter 274: *(NumConst=122, SV=93, CEps=0.5995, QPEps=0.2098)
Iter 275: *(NumConst=123, SV=94, CEps=0.6118, QPEps=0.2446)
Iter 276: *(NumConst=124, SV=94, CEps=0.5986, QPEps=0.2434)
Iter 277: *(NumConst=123, SV=95, CEps=0.6390, QPEps=0.2296)
Iter 278: *(NumConst=124, SV=96, CEps=0.5853, QPEps=0.2428)
Iter 279: *(NumConst=124, SV=97, CEps=0.5630, QPEps=0.2489)
Iter 280: *(NumConst=125, SV=97, CEps=0.5146, QPEps=0.2473)
Iter 281: *(NumConst=123, SV=98, CEps=0.5178, QPEps=0.2365)
Iter 282: *(NumConst=123, SV=98, CEps=0.5234, QPEps=0.2433)
Iter 283: *(NumConst=123, SV=98, CEps=0.4820, QPEps=0.2258)
Iter 284: *(NumConst=124, SV=98, CEps=0.4471, QPEps=0.2209)
Iter 285: *(NumConst=125, SV=98, CEps=0.4690, QPEps=0.2090)
Iter 286: *(NumConst=126, SV=99, CEps=0.6338, QPEps=0.2178)
Iter 287: *(NumConst=127, SV=98, CEps=0.5618, QPEps=0.2074)
Iter 288: *(NumConst=127, SV=98, CEps=0.4750, QPEps=0.2149)
Iter 289: *(NumConst=126, SV=98, CEps=0.4640, QPEps=0.2223)
Iter 290: *(NumConst=127, SV=99, CEps=0.5325, QPEps=0.2226)
Iter 291: *(NumConst=127, SV=99, CEps=0.4453, QPEps=0.2190)
Iter 292: *(NumConst=128, SV=100, CEps=0.5168, QPEps=0.2146)
Iter 293: *(NumConst=128, SV=100, CEps=0.3650, QPEps=0.1644)
